Common_Name,Species,Genus,Group_Size,Seasonal_Breeding,Mating_System,Reproductive_Age,Male_Rank_Bias,Male_Care,Alloparenting,Male_Homosexuality,Female_Homosexuality,Transgender,Sociosexual_Behavior,Only_observed_in_captivity,Sampling_Size,References_,,,
Chimpanzee,Pan_troglodytes_troglodytes,Pan,2+3,0,3,4,0+1,0,1,1,1,1,0+1,0,31200,"Shefferly,+N.+2005.+""Pan+troglodytes""+On-line,+Animal+Diversity+Web.+Accessed+August+15,+2025+at+https://animaldiversity.org/accounts/Pan_troglodytes/","Sandel,+A.A.,+&+Reddy,+R.B.+2021.+Sociosexual+behaviour+in+wild+chimpanzees+occurs+in+variable+contexts+and+is+frequent+between+same-sex+partners.+Behaviour,+-1,+1-28.",,
Bonobo,Pan_paniscus,Pan,1,0,3,4,0+1,0,1,1,1,0,0+1,0,9610,"Williams,+A.+2004.+""Pan+paniscus""+On-line,+Animal+Diversity+Web.+Accessed+August+15,+2025+at+https://animaldiversity.org/accounts/Pan_paniscus/","Yokoyama,+T.,+Furuichi,+T.+Why+bonobos+show+a+high+reproductive+skew+towards+high-ranking+males:+analyses+for+association+and+mating+patterns+concerning+female+sexual+states.+Primates+63,+483–494+2022.+https://doi.org/10.1007/s10329-022-01004-1","Annicchiarico,+G.,+Bertini,+M.,+Cordoni,+G.,+&+Palagi,+E.+2020.+Look+at+me+while+having+sex!+Eye-to-eye+contact+affects+homosexual+behaviour+in+bonobo+females.+Behaviour,+15710-11,+949–970.+doi:10.1163/1568539x-","Jirik,+K.+2024,+August+20.+LibGuides:+Bonobo+Pan+paniscus+Fact+Sheet:+Reproduction+&+Development.+San+Diego+Zoo+Wildlife+Alliance+Library.+https://ielc.libguides.com/sdzg/factsheets/bonobo"
Western_lowland_gorilla,Gorilla_gorilla_gorilla,Gorilla,0+1,0,1,4,1,0,0,1,1,0,0,0,9750,"Csomos,+R.+2008.+""Gorilla+gorilla""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Gorilla_gorilla/","Fischer,+R.B.,+Nadler,+R.D.+Affiliative,+playful,+and+homosexual+interactions+of+adult+female+lowland+gorillas.+Primates+19,+657–664+1978.+https://doi.org/10.1007/BF02373633",,
Mountain_gorilla,Gorilla_beringei,Gorilla,1+2,0,1,4,1,0,0+1,1,1,0,0,0,3100,"Lindsley,+T.+and+A.+Sorin+2001.+""Gorilla+beringei""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Gorilla_beringei/","Grueter+CC,+Stoinski+TS.+Homosexual+Behavior+in+Female+Mountain+Gorillas:+Reflection+of+Dominance,+Affiliation,+Reconciliation+or+Arousal?+PLoS+One.+2016+May+11;115:e0154185.+doi:+10.1371/journal.pone.0154185.",Yamagiwa+J.+1987.+Intra-+and+inter-group+interactions+of+an+all-male+group+of+Virunga+mountain+gorillas+Gorilla+gorilla+beringei.+Primates+28:1–30.,
Sumatran_orangutan,Pongo_abelii,Pongo,0+1,1,3,4,0,0,0,1,1,1,0,0,2680,"Urban,+K.+2008.+""Pongo+abelii""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Pongo_abelii/","Roth+TS,+Rianti+P,+Fredriksson+GM,+Wich+SA,+Nowak+MG.+Grouping+behavior+of+Sumatran+orangutans+Pongo+abelii+and+Tapanuli+orangutans+Pongo+tapanuliensis+living+in+forest+with+low+fruit+abundance.+Am+J+Primatol.+2020;82:e23123+10.1002/ajp.23123",,
Bornean_orangutan,Pongo_pygmaeus,Pongo,0+1,0,1,3,1,0,0,1,1,1,0,0,9030,"Strobel,+B.+2013.+""Pongo+pygmaeus""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Pongo_pygmaeus/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Siamang,Symphalangus_syndactylus,Hylobates,1,0,0+2,3,0,2,0,1,0,0,0,0,1060,"Eastridge,+A.+1999.+""Symphalangus+syndactylus""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Symphalangus_syndactylus/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
White-handed_gibbon,Hylobates_lar,Hylobates,1,0,0+3,3,0,0,0,1,0,0,0,0,3250,"Beaman,+M.+2014.+""Hylobates+lar""+On-line,+Animal+Diversity+Web.+Accessed+August+17,+2025+at+https://animaldiversity.org/accounts/Hylobates_lar/","Edwards,+AM.A.R.,+Todd,+J.D.+Homosexual+behaviour+in+wild+white-handed+gibbons+Hylobates+lar.+Primates+32,+231–236+1991.+https://doi.org/10.1007/BF02381180","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",
Agile_gibbon,Hylobates_agilis,Hylobates,1,0,0,3,0,2,0,0,0,0,NA,0,719,"Kuester,+J.+2000.+""Hylobates+agilis""+On-line,+Animal+Diversity+Web.+Accessed+August+18,+2025+at+https://animaldiversity.org/accounts/Hylobates_agilis/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x",,
Kloss's_gibbon,Hylobates_klossii,Hylobates,1,0,0,3,0,2,0,0,0,0,NA,0,708,"Marcoux,+A.+2004.+“Kloss’s+Gibbon+Hylobates+klossii”+online,+Animal+Diversity+Web.+Accessed+August+18,+2025,+https://animaldiversity.org/accounts/Hylobates_klossii/","Gómez,+J.M.,+Gónzalez-Megías,+A.+&+Verdú,+M.+The+evolution+of+same-sex+sexual+behaviour+in+mammals.+Nat+Commun+14,+5719+2023.+https://doi.org/10.1038/s41467-023-41290-x","Laura+Lee+Bahr,+November+2021+https://neprimateconservancy.org/kloss-gibbon/",
